source,target,value
PsGEF,flfl,0
PsGEF,bbg,0
PsGEF,Ziz,0
PsGEF,pbl,0
PsGEF,homer,0
PsGEF,GEFmeso,0
PsGEF,RanBP3,0
PsGEF,sl,0
PsGEF,CG13398,0
PsGEF,null,0
PsGEF,norpA,0
PsGEF,par-6,0
PsGEF,sprt,0
PsGEF,CG34384,0
PsGEF,null,0
Hr4,dsf,0
PsGEF,melt,0
PsGEF,CG34375,0
PsGEF,CG6498,0
PsGEF,ced-6,0
PsGEF,Zasp52,0
PsGEF,CG9205,0
PsGEF,Dcp1,0
PsGEF,Esyt2,0
PsGEF,trio,0
PsGEF,Nup50,0
PsGEF,numb,0
Hr4,GATAe,0
PsGEF,dos,0
PsGEF,sti,0
PsGEF,Mctp,0
PsGEF,Fife,0
Hr4,Hr38,0
PsGEF,CG5522,0
PsGEF,Pkc53E,0
PsGEF,unc-13-4A,0
PsGEF,CG33275,0
PsGEF,dnr1,0
PsGEF,blow,0
PsGEF,kibra,0
PsGEF,Btk29A,0
PsGEF,CG5921,0
Hr4,Hr39,0
PsGEF,dsh,0
PsGEF,cnk,0
PsGEF,Graf,0
PsGEF,CG10362,0
PsGEF,beta-Spec,0
PsGEF,CG12075,0
PsGEF,Ptpmeg,0
PsGEF,Mer,0
Hr4,usp,0
PsGEF,Myo10A,0
PsGEF,CG15611,0
PsGEF,CG15803,0
PsGEF,null,0
PsGEF,Pkn,0
PsGEF,CG6454,0
PsGEF,RhoGEF4,0
PsGEF,chico,0
PsGEF,by,0
PsGEF,baz,0
Hr4,Hr46,0
PsGEF,yrt,0
PsGEF,Grip,0
PsGEF,MESR3,0
Hr4,knrl,0
Hr4,Hr83,0
PsGEF,CG43658,0
PsGEF,CG14128,0
PsGEF,CG5004,0
PsGEF,Gprk1,0
PsGEF,CG42788,0
PsGEF,CG8312,0
PsGEF,Rph,0
PsGEF,Efa6,0
PsGEF,metro,0
PsGEF,CG12393,0
PsGEF,kst,0
PsGEF,null,0
Hr4,trx,0
